"Country or Area","Year","Item","Value"
"Central African Republic","2010","Gross Domestic Product (GDP)","459.32866477536"
"Chad","2010","Gross Domestic Product (GDP)","1023.65763768248"
"Chile","2010","Gross Domestic Product (GDP)","12852.0044384809"
"China (mainland)","2010","Gross Domestic Product (GDP)","4515.07707816866"
"China, Hong Kong SAR","2010","Gross Domestic Product (GDP)","32056.1746960789"
"China, Macao Special Administrative Region","2010","Gross Domestic Product (GDP)","50676.3891928517"
"Colombia","2010","Gross Domestic Product (GDP)","6394.19870546274"
"Comoros","2010","Gross Domestic Product (GDP)","1382.71458846394"
"Congo","2010","Gross Domestic Product (GDP)","2959.87459859497"
"Cook Islands","2010","Gross Domestic Product (GDP)","13989.5673102961"
"Costa Rica","2010","Gross Domestic Product (GDP)","8147.24862193318"
"Côte d'Ivoire","2010","Gross Domestic Product (GDP)","1243.55921940825"
"Croatia","2010","Gross Domestic Product (GDP)","13887.9623843948"
"Cuba","2010","Gross Domestic Product (GDP)","5697.57520913532"
"Curaçao","2010","Gross Domestic Product (GDP)","18517.648187705"
"Cyprus","2010","Gross Domestic Product (GDP)","31074.6652415631"
"Czechia","2010","Gross Domestic Product (GDP)","19978.4955151029"
"Democratic People's Republic of Korea","2010","Gross Domestic Product (GDP)","572.952601250263"
"Democratic Republic of the Congo","2010","Gross Domestic Product (GDP)","324.828109630989"
"Denmark","2010","Gross Domestic Product (GDP)","58008.2937585767"
"Djibouti","2010","Gross Domestic Product (GDP)","1352.97329987568"
"Dominica","2010","Gross Domestic Product (GDP)","7182.40020254419"
"Dominican Republic","2010","Gross Domestic Product (GDP)","5437.89912895999"
"Ecuador","2010","Gross Domestic Product (GDP)","4640.24634437845"
"Egypt","2010","Gross Domestic Product (GDP)","2459.87892668365"
"El Salvador","2010","Gross Domestic Product (GDP)","3017.30779318532"
"Equatorial Guinea","2010","Gross Domestic Product (GDP)","14890.9802442681"
"Eritrea","2010","Gross Domestic Product (GDP)","504.972460176652"
"Estonia","2010","Gross Domestic Product (GDP)","14671.1241919646"
"Ethiopia","2010","Gross Domestic Product (GDP)","294.844783889624"
"Fiji","2010","Gross Domestic Product (GDP)","3469.51255618727"
"Finland","2010","Gross Domestic Product (GDP)","46460.6749269931"
"France","2010","Gross Domestic Product (GDP)","40926.1547760121"
"French Polynesia","2010","Gross Domestic Product (GDP)","21426.9524447058"
"Gabon","2010","Gross Domestic Product (GDP)","8391.43770195924"
"Gambia","2010","Gross Domestic Product (GDP)","796.631838624639"
"Georgia","2010","Gross Domestic Product (GDP)","3190.96725709431"
"Germany","2010","Gross Domestic Product (GDP)","41762.6845007331"
"Ghana","2010","Gross Domestic Product (GDP)","1665.21551237006"
"Greece","2010","Gross Domestic Product (GDP)","26902.4094360608"
"Greenland","2010","Gross Domestic Product (GDP)","44420.9896451359"
"Grenada","2010","Gross Domestic Product (GDP)","6760.96110719757"
"Guatemala","2010","Gross Domestic Product (GDP)","2797.3449603639"
"Guinea","2010","Gross Domestic Product (GDP)","667.281603399883"
"Guinea-Bissau","2010","Gross Domestic Product (GDP)","541.755522851285"
"Guyana","2010","Gross Domestic Product (GDP)","4589.87286456405"
"Haiti","2010","Gross Domestic Product (GDP)","1200.02310726218"
"Honduras","2010","Gross Domestic Product (GDP)","1874.27170372599"
"Hungary","2010","Gross Domestic Product (GDP)","13234.972071075"
"Iceland","2010","Gross Domestic Product (GDP)","43197.4125137506"
"India","2010","Gross Domestic Product (GDP)","1345.8015998909"
"Indonesia","2010","Gross Domestic Product (GDP)","3094.44307855057"
"Iran, Islamic Republic of","2010","Gross Domestic Product (GDP)","6949.40647707647"
"Iraq","2010","Gross Domestic Product (GDP)","4430.42624189518"
"Ireland","2010","Gross Domestic Product (GDP)","48998.3633761601"
"Israel","2010","Gross Domestic Product (GDP)","32019.7083393299"
"Italy","2010","Gross Domestic Product (GDP)","35672.5250010181"
"Jamaica","2010","Gross Domestic Product (GDP)","4835.78956387134"
"Japan","2010","Gross Domestic Product (GDP)","44955.7190827695"
"Jordan","2010","Gross Domestic Product (GDP)","3914.70123389873"
"Kazakhstan","2010","Gross Domestic Product (GDP)","8903.58428703886"
"Kenya","2010","Gross Domestic Product (GDP)","1093.63962775736"
"Kingdom of Eswatini","2010","Gross Domestic Product (GDP)","4035.5345003074"
"Kiribati","2010","Gross Domestic Product (GDP)","1438.08046572812"
"Kosovo","2010","Gross Domestic Product (GDP)","2978.2736023292"
"Kuwait","2010","Gross Domestic Product (GDP)","39212.3981972714"
"Kyrgyzstan","2010","Gross Domestic Product (GDP)","874.28143851408"
"Lao People's Democratic Republic","2010","Gross Domestic Product (GDP)","1156.56606262993"
"Latvia","2010","Gross Domestic Product (GDP)","11403.1221945412"
"Lebanon","2010","Gross Domestic Product (GDP)","7695.24541460837"
"Lesotho","2010","Gross Domestic Product (GDP)","1104.59696542433"
"Liberia","2010","Gross Domestic Product (GDP)","321.396552599083"
"Libya","2010","Gross Domestic Product (GDP)","11611.3585953054"
"Liechtenstein","2010","Gross Domestic Product (GDP)","156462.094788819"
"Lithuania","2010","Gross Domestic Product (GDP)","11831.2328574576"
"Luxembourg","2010","Gross Domestic Product (GDP)","110752.347325475"
"Madagascar","2010","Gross Domestic Product (GDP)","459.375407998473"
"Malawi","2010","Gross Domestic Product (GDP)","472.853517301485"
"Malaysia","2010","Gross Domestic Product (GDP)","8880.14603964288"
"Maldives","2010","Gross Domestic Product (GDP)","7158.0614213856"
"Mali","2010","Gross Domestic Product (GDP)","687.65693453787"
"Malta","2010","Gross Domestic Product (GDP)","21556.7866868651"
"Marshall Islands","2010","Gross Domestic Product (GDP)","3004.1603639359"
"Mauritania","2010","Gross Domestic Product (GDP)","1646.13044727637"
"Mauritius","2010","Gross Domestic Product (GDP)","7795.08831738497"
"Mexico","2010","Gross Domestic Product (GDP)","9399.96458834017"
"Micronesia (Federated States of)","2010","Gross Domestic Product (GDP)","2760.01154403837"
"Monaco","2010","Gross Domestic Product (GDP)","161623.652540753"
"Mongolia","2010","Gross Domestic Product (GDP)","2660.28861199273"
"Montenegro","2010","Gross Domestic Product (GDP)","6558.9069356422"
"Montserrat","2010","Gross Domestic Product (GDP)","11241.6182890059"
"Morocco","2010","Gross Domestic Product (GDP)","2970.21597257071"
"Mozambique","2010","Gross Domestic Product (GDP)","481.268196897752"
"Myanmar","2010","Gross Domestic Product (GDP)","908.008472763956"
"Namibia","2010","Gross Domestic Product (GDP)","5374.32220813116"
"Nauru","2010","Gross Domestic Product (GDP)","5788.22497907212"
"Nepal","2010","Gross Domestic Product (GDP)","676.124876227443"
"Netherlands","2010","Gross Domestic Product (GDP)","50944.7514229504"
"New Caledonia","2010","Gross Domestic Product (GDP)","35785.3556657511"
"New Zealand","2010","Gross Domestic Product (GDP)","33710.5722521474"
"Nicaragua","2010","Gross Domestic Product (GDP)","1495.7309126968"
"Niger","2010","Gross Domestic Product (GDP)","458.412528171132"
"Nigeria","2010","Gross Domestic Product (GDP)","2257.55442659576"
"Norway","2010","Gross Domestic Product (GDP)","87685.0202223065"
"Oman","2010","Gross Domestic Product (GDP)","22552.2164893642"
"Pakistan","2010","Gross Domestic Product (GDP)","940.887304794285"
"Palau","2010","Gross Domestic Product (GDP)","9883.08052858684"
"Panama","2010","Gross Domestic Product (GDP)","8124.55830210533"
"Papua New Guinea","2010","Gross Domestic Product (GDP)","1879.24044258204"
"Paraguay","2010","Gross Domestic Product (GDP)","4725.72637428199"
"Peru","2010","Gross Domestic Product (GDP)","5047.2046433225"
"Philippines","2010","Gross Domestic Product (GDP)","2201.77681933863"
"Poland","2010","Gross Domestic Product (GDP)","12324.5916354833"
"Portugal","2010","Gross Domestic Product (GDP)","22466.1786343049"
"Puerto Rico","2010","Gross Domestic Product (GDP)","26461.3673982402"
"Qatar","2010","Gross Domestic Product (GDP)","73021.3465332179"
"Republic of Korea","2010","Gross Domestic Product (GDP)","23437.7316070559"
"Republic of Moldova","2010","Gross Domestic Product (GDP)","1896.31040752524"
"Republic of North Macedonia","2010","Gross Domestic Product (GDP)","4492.80461947566"
"Romania","2010","Gross Domestic Product (GDP)","8361.32750285539"
"Russian Federation","2010","Gross Domestic Product (GDP)","10749.9102420029"
"Rwanda","2010","Gross Domestic Product (GDP)","593.693975906888"
"Saint Kitts and Nevis","2010","Gross Domestic Product (GDP)","16427.6210053903"
"Saint Lucia","2010","Gross Domestic Product (GDP)","8697.08975363171"
"Saint Vincent and the Grenadines","2010","Gross Domestic Product (GDP)","6590.99195070945"
"Samoa","2010","Gross Domestic Product (GDP)","3589.29413258584"
"San Marino","2010","Gross Domestic Product (GDP)","67683.5871999507"
"Sao Tome and Principe","2010","Gross Domestic Product (GDP)","1084.09022391258"
"Saudi Arabia","2010","Gross Domestic Product (GDP)","17958.9489913973"
"Senegal","2010","Gross Domestic Product (GDP)","1285.35013621128"
"Serbia","2010","Gross Domestic Product (GDP)","5463.91796166959"
"Seychelles","2010","Gross Domestic Product (GDP)","10669.3886658989"
"Sierra Leone","2010","Gross Domestic Product (GDP)","400.519999535794"
"Singapore","2010","Gross Domestic Product (GDP)","46442.0920262855"
"Sint Maarten (Dutch part)","2010","Gross Domestic Product (GDP)","27138.4651770666"
"Slovakia","2010","Gross Domestic Product (GDP)","16876.7275405051"
"Slovenia","2010","Gross Domestic Product (GDP)","23410.078615792"
"Solomon Islands","2010","Gross Domestic Product (GDP)","1661.9883046165"
"Somalia","2010","Gross Domestic Product (GDP)","223.487606873625"
"South Africa","2010","Gross Domestic Product (GDP)","8059.56284111378"
"South Sudan","2010","Gross Domestic Product (GDP)","1536.37497843832"
"Spain","2010","Gross Domestic Product (GDP)","30505.4213664371"
"Sri Lanka","2010","Gross Domestic Product (GDP)","2744.54355223669"
"State of Palestine","2010","Gross Domestic Product (GDP)","2425.05657171169"
"Sudan","2010","Gross Domestic Product (GDP)","1622.39660064397"
"Suriname","2010","Gross Domestic Product (GDP)","8207.27007344321"
"Sweden","2010","Gross Domestic Product (GDP)","52848.7402314979"
"Switzerland","2010","Gross Domestic Product (GDP)","77141.5158326887"
"Syrian Arab Republic","2010","Gross Domestic Product (GDP)","2706.88042745415"
"Tajikistan","2010","Gross Domestic Product (GDP)","740.270198833567"
"Thailand","2010","Gross Domestic Product (GDP)","4996.37071076567"
"Timor-Leste","2010","Gross Domestic Product (GDP)","810.14160494485"
"Togo","2010","Gross Domestic Product (GDP)","721.52542391272"
"Tonga","2010","Gross Domestic Product (GDP)","3457.27158310046"
"Trinidad and Tobago","2010","Gross Domestic Product (GDP)","16558.2863727867"
"Tunisia","2010","Gross Domestic Product (GDP)","4043.20095810944"
"Türkiye","2010","Gross Domestic Product (GDP)","10614.9845680831"
"Turkmenistan","2010","Gross Domestic Product (GDP)","4286.88050515414"
"Turks and Caicos Islands","2010","Gross Domestic Product (GDP)","23103.943147413"
"Tuvalu","2010","Gross Domestic Product (GDP)","2975.89563141184"
"Uganda","2010","Gross Domestic Product (GDP)","949.26612203123"
"Ukraine","2010","Gross Domestic Product (GDP)","2977.30930051834"
"United Arab Emirates","2010","Gross Domestic Product (GDP)","34165.9133052994"
"United Kingdom of Great Britain and Northern Ireland","2010","Gross Domestic Product (GDP)","39697.1948100279"
"United Republic of Tanzania: Mainland","2010","Gross Domestic Product (GDP)","719.369249598966"
"United Republic of Tanzania: Zanzibar","2010","Gross Domestic Product (GDP)","657.150836395314"
"United States","2010","Gross Domestic Product (GDP)","48360.5386408753"
"Uruguay","2010","Gross Domestic Product (GDP)","12015.7322206346"
"Uzbekistan","2010","Gross Domestic Product (GDP)","1747.73202459618"
"Vanuatu","2010","Gross Domestic Product (GDP)","2855.14556825184"
"Venezuela (Bolivarian Republic of)","2010","Gross Domestic Product (GDP)","13714.2737552369"
"Viet Nam","2010","Gross Domestic Product (GDP)","1684.0117730826"
"Yemen","2010","Gross Domestic Product (GDP)","1249.06317764417"
"Zambia","2010","Gross Domestic Product (GDP)","1469.34992246628"
"Zimbabwe","2010","Gross Domestic Product (GDP)","937.840338196063"

